"mobId"	"mobname_kr"	"mobname_en"	"moblevel"	"itemId"	"itemname_kr"	"itemname_en"	"min"	"max"	"chance"	"Enchant"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"103"	"미늘창"	"Halberd"	"1"	"1"	"3000"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"20085"	"티셔츠"	"T-shirt"	"1"	"1"	"1000"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"20231"	"사각 방패"	"Tower Shield"	"1"	"1"	"2500"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"20306"	"낡은 신체의 벨트"	"Old Belt of Body"	"1"	"1"	"500"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"22263"	"반역자의 방패"	"Rebel Shield"	"1"	"1"	"3"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"0"	"37038"	"반역자의 방패 (소생)"	"Rebel Shield (Revival)"	"1"	"1"	"30"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"40013"	"속도 향상 물약"	"Haste Potion"	"1"	"2"	"3500"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"40014"	"용기의 물약"	"Brave Potion"	"1"	"1"	"3000"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"55"	"40074"	"갑옷 마법 주문서"	"Armor Enchant Scroll"	"1"	"1"	"300"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"0"	"40165"	"기술서 (리덕션 아머)"	"Technical Book (Reduction Armor)"	"1"	"1"	"100"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"0"	"40166"	"기술서 (바운스 어택)"	"Technical Book (Bounce Attack)"	"1"	"1"	"50"	"0"
"5017"	"정예 흑기사"	"Elite Black Knight"	"0"	"40308"	""	"Adena"	"247"	"1014"	"100000"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"54"	"153"	"강철 크로우"	"Steel Claw"	"1"	"1"	"2000"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"54"	"40013"	"속도향상 물약"	"Haste Potion"	"1"	"3"	"3000"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"54"	"40304"	"마프르의 유산"	"Relic of Maphr"	"1"	"1"	"2000"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"0"	"40308"	""	"Adena"	"247"	"1014"	"100000"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"54"	"210033"	"용기사의 서판(아이 오브 드래곤)"	"Dragon Tablet (Eye of Dragon)"	"1"	"1"	"200"	"0"
"5018"	"다이어울프"	"Dire Wolf"	"54"	"3000028"	"할파스의 집념"	"Halpas Obession"	"1"	"1"	"1000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"1119"	"극한의 체인소드"	"Extreme Cold Chainsword"	"1"	"1"	"500"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"3012"	"창술서 (뱅가드)"	"Spear Technique (Vanguard)"	"1"	"1"	"1000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"22360"	"지휘관의 투구"	"Helm of the Commander"	"1"	"1"	"300"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"37022"	"극한의 체인소드 (소생)"	"Extreme Cold Chainsword (Revival)"	"1"	"1"	"5000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"37047"	"지휘관의 투구 (소생)"	"Helm of the Commander (Revival)"	"1"	"1"	"1000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"40074"	"갑옷 마법 주문서"	"Armor Enchant Scroll"	"1"	"3"	"10000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"40087"	"무기 마법 주문서"	"Scroll of Enchant Weapon"	"1"	"3"	"10000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"40308"	"아데나"	"Adena"	"2467"	"6427"	"1000000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"43013"	"마법서 (메디테이션: 비욘드)"	"Spellbook (Meditation: Beyond)"	"1"	"1"	"300"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"0"	"43300"	"용맹의 메달"	"Medal of Valor"	"5"	"14"	"100000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"140074"	"갑옷 마법 주문서"	"Armor Enchant Scroll"	"1"	"1"	"5000"	"0"
"5019"	"질풍의 샤스키"	"Shasky Gale"	"65"	"140087"	"무기 마법 주문서"	"Scroll of Enchant Weapon"	"1"	"1"	"5000"	"0"
