"mapid"	"locationname"	"desc_kr"	"startX"	"endX"	"startY"	"endY"	"monster_amount"	"drop_rate"	"underwater"	"markable"	"teleportable"	"escapable"	"resurrection"	"painwand"	"penalty"	"take_pets"	"recall_pets"	"usable_item"	"usable_skill"	"dungeon"	"dmgModiPc2Npc"	"dmgModiNpc2Pc"	"decreaseHp"	"dominationTeleport"	"beginZone"	"redKnightZone"	"ruunCastleZone"	"interWarZone"	"geradBuffZone"	"growBuffZone"	"interKind"	"script"	"cloneStart"	"cloneEnd"	"pngId"
"0"	"Talking Island Village"	"말하는 섬 마을"	"32256"	"32767"	"32768"	"33279"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"10200"
"1"	"Talking Island Dungeon 1F"	"말하는 섬 던전 1층"	"32576"	"32831"	"32704"	"32959"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"50"	"120"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"16171"
"2"	"Talking Island Dungeon 2F"	"말하는 섬 던전 2층"	"32576"	"32895"	"32704"	"32959"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"50"	"120"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"16172"
"3"	"Red Knight Training Camp"	"붉은 기사의 훈련소"	"32640"	"32767"	"32768"	"32895"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"4"	"Mainland"	"본토"	"32448"	"34495"	"32064"	"33599"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"10101"
"5"	"Talking Island Ship to Aden Mainland"	"말섬 → 본토 배"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"6"	"Aden Mainland Ship to Talking Island"	"본토 → 말섬행 배"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"7"	"Swamp of Red Knights"	"붉은 기사단의 늪지"	"32704"	"32831"	"32768"	"32895"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"22943"
"8"	"Hidden Road"	"숨겨진 길"	"32768"	"32895"	"32896"	"33023"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"22944"
"9"	"Talking Island Field"	"말하는 섬 필드"	"32256"	"32767"	"32768"	"33279"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"10000"
"10"	"Black Battleship 1F"	"검은 전함 1층"	"32704"	"32831"	"32704"	"32767"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"16374"
"11"	"Black Battleship 2F"	"검은 전함 2층"	"32704"	"32831"	"32704"	"32767"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"16375"
"12"	"Black Battleship 3F"	"검은 전함 3층"	"32704"	"32831"	"32704"	"32767"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"16376"
"13"	"Mainland Dungeon 7F"	"글루디오 던전 7층"	"32704"	"32831"	"32704"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"14"	"Underground Passage"	"지하 통로"	"32512"	"33023"	"32704"	"32895"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"15"	"Kent Inner Castle"	"켄트 내성"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"16175"
"16"	"Hardin's Cave"	"하딘의 연구소"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"17"	"Nerupa's Cave"	"네루파 동굴"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
"18"	"Dupelgenon Dungeon"	"듀펠게넌 던전"	"32704"	"32767"	"32768"	"32831"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"		"0"	"0"	"-1"
