"id"	"name"	"polyid"	"minlevel"	"weaponequip"	"armorequip"	"isSkillUse"	"cause"	"bonusPVP"	"formLongEnable"
"1"	"lv1 orc"	"11328"	"1"	"751"	"4095"	"1"	"7"	"false"	"true"
"2"	"lv1 lesser demon"	"11367"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"3"	"lv1 werewolf"	"11340"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"4"	"lv1 orc fighter"	"11339"	"1"	"751"	"4095"	"1"	"7"	"false"	"true"
"5"	"lv1 skeleton"	"11329"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"6"	"lv1 black knight chief"	"11365"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"7"	"lv1 cargo"	"11361"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"8"	"lv1 dark knight"	"11380"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"9"	"lv1 silver knight"	"11384"	"1"	"751"	"4095"	"1"	"7"	"false"	"false"
"10"	"lv1 sword master"	"11388"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"11"	"lv1 arch knight"	"11392"	"1"	"3839"	"4095"	"1"	"7"	"false"	"false"
"12"	"lv1 phonos knight"	"15850"	"1"	"751"	"4095"	"1"	"7"	"false"	"true"
"13"	"lv75 jin death knight"	"12702"	"75"	"3839"	"4095"	"1"	"7"	"false"	"true"
"14"	"lv80 jin death knight"	"12681"	"80"	"3839"	"4095"	"1"	"7"	"false"	"true"
"15"	"lv82 jin death knight"	"13153"	"82"	"3839"	"4095"	"1"	"7"	"false"	"false"
"16"	"lv84 jin death knight"	"13152"	"84"	"3839"	"4095"	"1"	"7"	"false"	"true"
"17"	"lv1 dreik"	"11359"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"18"	"lv1 blaze"	"11360"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"19"	"lv1 assassin master"	"11366"	"1"	"3839"	"4095"	"1"	"7"	"false"	"true"
"20"	"lv70 phonos assassin"	"15847"	"70"	"3839"	"4095"	"1"	"7"	"false"	"false"
"21"	"lv75 dark shadow"	"11381"	"75"	"3839"	"4095"	"1"	"7"	"false"	"false"
