"skill_id"	"name"	"desc_kr"	"desc_en"	"skill_level"	"mpConsume"	"hpConsume"	"itemConsumeId"	"itemConsumeCount"	"reuseDelay"	"delayGroupId"	"fixDelay"	"buffDuration"	"buffDuration_txt"	"target"	"target_to"	"target_to_txt"	"effect_txt"	"damage_value"	"damage_dice"	"damage_dice_count"	"probability_value"	"probability_dice"	"attr"	"type"	"alignment"	"ranged"	"area"	"is_through"	"action_id"	"action_id2"	"action_id3"	"castgfx"	"castgfx2"	"castgfx3"	"sysmsgID_happen"	"sysmsgID_stop"	"sysmsgID_fail"	"classType"	"grade"
"0"	"힐"	"힐"	"Lesser Heal"	"1"	"4"	"0"	"0"	"0"	"2000"	"0"	"false"	"0"	"Instant"	"NONE"	"ALL"	"Caster"	"Restores caster's HP slightly."	"3"	"2"	"0"	"0"	"0"	"WATER"	"HEAL"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"11722"	"0"	"0"	"77"	"0"	"280"	"normal"	"NORMAL"
"1"	"라이트"	"라이트"	"Light"	"1"	"4"	"0"	"0"	"0"	"1400"	"0"	"false"	"3600"	"3,600s"	"NONE"	"ME"	"Caster"	"Creates a bright light source illuminating the surroundings."	"0"	"0"	"0"	"0"	"0"	"RAY"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"2510"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"2"	"실드"	"실드"	"Shield"	"1"	"8"	"0"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1,800s"	"NONE"	"ME"	"Caster"	"Enhances defense.<br>-2 AC"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"221"	"0"	"0"	"853"	"0"	"0"	"normal"	"NORMAL"
"3"	"에너지 볼트"	"에너지 볼트"	"Energy Bolt"	"1"	"3"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 10 cells"	"Deals small magic damage."	"1"	"1"	"1"	"0"	"0"	"RAY"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"167"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"4"	"텔레포트"	"텔레포트"	"Teleport"	"1"	"10"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"NONE"	"ME"	"Caster"	"Moves to a random location instantly.<br>With Teleport Control Ring,<br>moves to a bookmarked location."	"0"	"0"	"0"	"0"	"0"	"NONE"	"OTHER"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"169"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"5"	"아이스 대거"	"아이스 대거"	"Ice Dagger"	"1"	"4"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 10 cells"	"Deals small water damage."	"1"	"1"	"1"	"0"	"0"	"WATER"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"1797"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"6"	"윈드 커터"	"윈드 커터"	"Wind Shuriken"	"1"	"4"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 10 cells"	"Deals small wind damage."	"1"	"1"	"1"	"0"	"0"	"WIND"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"1799"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"7"	"홀리 웨폰"	"홀리 웨폰"	"Holy Weapon"	"1"	"10"	"0"	"0"	"0"	"1400"	"0"	"false"	"1200"	"1,200s"	"NONE"	"ME"	"Caster"	"Grants a holy spell on the weapon.<br>+1 Melee Damage<br>+1 Melee Hit<br>+1 Additional Undead Damage"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"2165"	"0"	"0"	"685"	"718"	"0"	"normal"	"NORMAL"
"8"	"큐어 포이즌"	"큐어 포이즌"	"Cure Poison"	"2"	"15"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 15 cells"	"Cures poisoned conditions."	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"871"	"0"	"0"	"211"	"0"	"280"	"normal"	"NORMAL"
"9"	"칠 터치"	"칠 터치"	"Chill Touch"	"2"	"8"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 3 cells"	"Steals some HP from the target."	"5"	"3"	"2"	"0"	"0"	"WATER"	"ATTACK"	"-2"	"3"	"0"	"false"	"18"	"0"	"0"	"11767"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"10"	"커스: 포이즌"	"커스: 포이즌"	"Curse: Poison"	"2"	"10"	"0"	"40318"	"1"	"1500"	"0"	"false"	"30"	"30s"	"BUFF"	"ALL"	"1 PC/NPC within 3 cells"	"Inflicts a poison on the target that<br> consumes target HP."	"0"	"0"	"0"	"50"	"12"	"WATER"	"CURSE"	"-5"	"3"	"0"	"false"	"19"	"0"	"0"	"10705"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"11"	"인챈트 웨폰"	"인챈트 웨폰"	"Enchant Weapon"	"2"	"20"	"0"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1,800s"	"NONE"	"ME"	"Caster"	"Enchants a weapon.<br>+2 Melee Damage"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"747"	"0"	"0"	"0"	"2239"	"0"	"normal"	"NORMAL"
"12"	"디텍션"	"디텍션"	"Detection"	"2"	"15"	"0"	"0"	"0"	"1900"	"0"	"false"	"0"	"Instant"	"NONE"	"ALL"	"Hidden target within 15 cells"	"Finds hidden objects."	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"-1"	"false"	"19"	"0"	"0"	"749"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"13"	"디크리즈 웨이트"	"디크리즈 웨이트"	"Decrease Weight"	"2"	"10"	"50"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1,800s"	"NONE"	"ME"	"Caster"	"Reduces the weight of carried items."	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"0"	"0"	"false"	"19"	"0"	"0"	"2170"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"14"	"파이어 애로우"	"파이어 애로우"	"Fire Arrow"	"2"	"6"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 10 cells"	"Deals small fire damage."	"5"	"3"	"2"	"0"	"0"	"FIRE"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"1583"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"15"	"스탈락"	"스탈락"	"Stalac"	"2"	"6"	"0"	"0"	"0"	"1400"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 10 cells"	"Deals small earth damage."	"5"	"3"	"2"	"0"	"0"	"EARTH"	"ATTACK"	"0"	"10"	"0"	"false"	"18"	"0"	"0"	"1801"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"16"	"라이트닝"	"라이트닝"	"Lightning"	"3"	"20"	"0"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"ATTACK"	"ALL"	"1 PC/NPC within 6 cells"	"Deals damage to enemies in front with lightning."	"5"	"4"	"4"	"0"	"0"	"WIND"	"ATTACK"	"0"	"6"	"2"	"false"	"18"	"0"	"0"	"170"	"0"	"0"	"0"	"0"	"0"	"normal"	"NORMAL"
"17"	"턴 언데드"	"턴 언데드"	"Turn Undead"	"3"	"20"	"0"	"0"	"0"	"1700"	"0"	"false"	"0"	"Instant"	"ATTACK"	"NPC"	"1 NPC within 10 cells"	"Liberates undead monsters.<br>May become berserk randomly."	"0"	"0"	"0"	"15"	"15"	"EARTH"	"CURSE"	"0"	"10"	"0"	"false"	"19"	"0"	"0"	"754"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"18"	"익스트라 힐"	"익스트라 힐"	"Heal"	"3"	"15"	"0"	"0"	"0"	"2000"	"0"	"false"	"0"	"Instant"	"BUFF"	"ALL"	"1 PC/NPC within 8 cells"	"Recovers target's HP moderately.<br>Deals certain damage to undead."	"4"	"7"	"0"	"0"	"0"	"WATER"	"HEAL"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"11723"	"0"	"0"	"77"	"0"	"280"	"normal"	"NORMAL"
"19"	"커스: 블라인드"	"커스: 블라인드"	"Curse: Blind"	"3"	"20"	"0"	"0"	"0"	"1700"	"0"	"false"	"10"	"10s"	"BUFF"	"ALL"	"1 PC/NPC within 3 cells"	"Casts a curse, causing blindness to target.<br>Inflicts darkness status."	"0"	"0"	"0"	"15"	"11"	"NONE"	"CURSE"	"-10"	"1"	"0"	"false"	"19"	"0"	"0"	"10703"	"0"	"0"	"0"	"0"	"280"	"normal"	"NORMAL"
"20"	"블레스드 아머"	"블레스드 아머"	"Blessed Armor"	"3"	"20"	"0"	"0"	"0"	"1400"	"0"	"false"	"1800"	"1,800s"	"NONE"	"ME"	"Caster"	"Enchants armor with magic.<br>-3 AC"	"0"	"0"	"0"	"0"	"0"	"NONE"	"CHANGE"	"0"	"-1"	"0"	"false"	"19"	"0"	"0"	"748"	"0"	"0"	"0"	"2240"	"0"	"normal"	"NORMAL"
