"id"	"name"	"count"	"npc_templateid"	"group_id"	"locx"	"locy"	"randomx"	"randomy"	"locx1"	"locy1"	"locx2"	"locy2"	"heading"	"min_respawn_delay"	"max_respawn_delay"	"mapid"	"respawn_screen"	"movement_distance"	"rest"	"near_spawn"
"1"	"Goblin"	"20"	"45008"	"0"	"32766"	"32829"	"0"	"0"	"32735"	"32798"	"32797"	"32861"	"0"	"15"	"30"	"7"	"1"	"0"	"0"	"0"
"2"	"Orc"	"20"	"45009"	"0"	"32766"	"32829"	"0"	"0"	"32735"	"32798"	"32797"	"32861"	"0"	"15"	"30"	"7"	"1"	"0"	"0"	"0"
"3"	"Werewolf"	"20"	"45024"	"0"	"32766"	"32829"	"0"	"0"	"32735"	"32798"	"32797"	"32861"	"0"	"15"	"30"	"7"	"1"	"0"	"0"	"0"
"4"	"Skeleton"	"30"	"203037"	"0"	"32735"	"33042"	"0"	"0"	"32662"	"32955"	"32809"	"33129"	"0"	"15"	"30"	"12147"	"1"	"0"	"0"	"0"
"5"	"Skeleton Axeman"	"30"	"203036"	"0"	"32735"	"33042"	"0"	"0"	"32662"	"32955"	"32809"	"33129"	"0"	"15"	"30"	"12147"	"1"	"0"	"0"	"0"
"74"	"Rabbit"	"1"	"45010"	"0"	"33053"	"33427"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"76"	"Rabbit"	"1"	"45010"	"0"	"33048"	"33469"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"78"	"Rabbit"	"1"	"45010"	"0"	"33021"	"33492"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"80"	"Rabbit"	"1"	"45010"	"0"	"32995"	"33499"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"82"	"Rabbit"	"1"	"45010"	"0"	"32949"	"33436"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"84"	"Rabbit"	"1"	"45010"	"0"	"32996"	"33380"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"86"	"Rabbit"	"1"	"45010"	"0"	"33030"	"33325"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"90"	"Rabbit"	"1"	"45010"	"0"	"33120"	"33330"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"92"	"Rabbit"	"1"	"45010"	"0"	"33145"	"33356"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"94"	"Rabbit"	"1"	"45010"	"0"	"33162"	"33383"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"96"	"Rabbit"	"1"	"45010"	"0"	"33180"	"33414"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
"98"	"Rabbit"	"1"	"45010"	"0"	"33172"	"33440"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"60"	"120"	"4"	"0"	"0"	"0"	"0"
