"id"	"spawn_group_id"	"name"	"desc_kr"	"npcid"	"spawnDay"	"spawnTime"	"spawnX"	"spawnY"	"spawnMapId"	"rndMinut"	"rndRange"	"heading"	"groupid"	"movementDistance"	"isYN"	"mentType"	"ment"	"percent"	"aliveSecond"	"spawnType"
"1"	"0"	"Great Dark Elder"	"대흑장로"	"7000094"	"M,T,W,H,F,A,S"	"22H 0M"	"33267"	"32392"	"15430"	"1"	"5"	"0"	"0"	"0"	"false"	"MAP"	"$37025"	"50"	"7200"	"NORMAL"
"2"	"0"	"Drake"	"드레이크"	"45578"	"M,T,W,H,F,A,S"	"6H 10M
12H 10M
18H 10M
0H 10M"	"33389"	"32335"	"15430"	"1"	"5"	"0"	"17"	"0"	"false"	"SCREEN"	"$30252"	"50"	"3600"	"NORMAL"
"3"	"0"	"Giant Drake"	"거대 드레이크"	"45529"	"M,T,W,H,F,A,S"	"6H 10M
18H 10M"	"33325"	"32464"	"4"	"1"	"5"	"0"	"120"	"0"	"false"	"SCREEN"	" $17998 $5485"	"50"	"3600"	"NORMAL"
"4"	"0"	"Xeroth"	"제로스"	"7000093"	"M,T,W,H,F,A,S"	"6H 10M
18H 10M"	"33387"	"32343"	"15430"	"1"	"5"	"0"	"0"	"0"	"false"	"MAP"	"$30253"	"50"	"3600"	"NORMAL"
"6"	"0"	"Doppelganger Boss"	"도펠갱어 보스"	"45546"	"M,T,W,H,F,A,S"	"2H 10M
10H 10M
18H 10M"	"33709"	"33307"	"4"	"1"	"40"	"0"	"0"	"0"	"false"	"MAP"	"$37026"	"50"	"3600"	"NORMAL"
"14"	"0"	"Demon"	"데몬"	"100570"	"M,T,W,H,F,A,S"	"0H 10M
6H 10M
10H 10M
14H 10M
18H 10M"	"32715"	"32831"	"285"	"1"	"5"	"0"	"0"	"0"	"false"	"MAP"	"$8475"	"50"	"3600"	"NORMAL"
"15"	"0"	"Death Knight"	"데스나이트"	"45601"	"M,T,W,H,F,A,S"	"6H 10M
18H 10M"	"32760"	"32783"	"813"	"1"	"50"	"0"	"0"	"0"	"false"	"MAP"	"$30274"	"50"	"3600"	"NORMAL"
"16"	"0"	"Bigfoot Mayo"	"큰발의 마요"	"5146"	"M,T,W,H,F,A,S"	"2H 10M
10H 10M
18H 10M"	"34253"	"32296"	"15420"	"1"	"50"	"0"	"0"	"0"	"false"	"MAP"	"$30257"	"50"	"3600"	"NORMAL"
"17"	"0"	"Faust"	"파우스트"	"4037001"	"M,T,W,H,F,A,S"	"6H 50M
18H 50M"	"32776"	"32762"	"53"	"1"	"50"	"0"	"0"	"0"	"false"	"MAP"	"$7445 $5485"	"50"	"3600"	"NORMAL"
"18"	"0"	"Maino Shaman"	"마이노 샤먼"	"450802"	"M,T,W,H,F,A,S"	"2H 10M
10H 10M
18H 10M"	"34251"	"32833"	"15410"	"1"	"50"	"0"	"0"	"0"	"false"	"MAP"	"$30254"	"50"	"3600"	"NORMAL"
"21"	"0"	"Kurtz"	"커츠"	"45600"	"M,T,W,H,F,A,S"	"2H 10M
10H 10M
18H 10M"	"32638"	"32601"	"4"	"1"	"40"	"0"	"13"	"0"	"false"	"SCREEN"	"$274 $5485"	"30"	"3600"	"NORMAL"
"22"	"0"	"Phoenix"	"피닉스"	"45617"	"M,T,W,H,F,A,S"	"6H 10M
18H 10M"	"33747"	"32276"	"15440"	"1"	"10"	"0"	"0"	"0"	"false"	"MAP"	"$30255"	"30"	"3600"	"NORMAL"
"23"	"0"	"Ifrit"	"이프리트"	"45516"	"M,T,W,H,F,A,S"	"2H 10M
10H 10M
18H 10M"	"33710"	"32316"	"15440"	"1"	"100"	"0"	"0"	"0"	"false"	"MAP"	"$30256"	"50"	"3600"	"NORMAL"
"25"	"0"	"Flame Lord"	"화염의 지배자"	"7310092"	"M,T,W,H,F,A,S"	"3H 0M
15H 0M"	"33667"	"32231"	"15440"	"1"	"10"	"0"	"0"	"0"	"false"	"MAP"	"$23024 $5485"	"50"	"3600"	"NORMAL"
"53"	"0"	"Dead Warden"	"망자의 교도관"	"7220052"	"M,T,W,H,F,A,S"	"6H 10M
12H 10M
18H 10M
0H 10M"	"32874"	"32653"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"SCREEN"	"$22287 $5485"	"80"	"3600"	"NORMAL"
"54"	"0"	"Acmo"	"아크모"	"7123"	"M,T,W,H,F,A,S"	"6H 27M
12H 27M
18H 27M
0H 27M"	"32697"	"32827"	"37"	"1"	"0"	"0"	"0"	"0"	"false"	"NONE"	"$30251"	"50"	"3600"	"NORMAL"
"56"	"0"	"Ghost of Death"	"죽음의 망령"	"7220027"	"M,T,W,H,F,A,S"	"3H 0M
11H 0M
19H 0M"	"33019"	"33207"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"NONE"	"$22288 $5485"	"50"	"3600"	"NORMAL"
"57"	"0"	"Ghost of Chaos"	"혼돈의 망령"	"7220028"	"M,T,W,H,F,A,S"	"3H 0M
11H 0M
19H 0M"	"33019"	"33207"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"NONE"	"$22289 $5485"	"50"	"3600"	"NORMAL"
"59"	"0"	"Cargo"	"카르고"	"7220004"	"M,T,W,H,F,A,S"	"3H 0M
11H 0M
19H 0M"	"34039"	"33042"	"4"	"1"	"10"	"0"	"0"	"0"	"false"	"NONE"	"$22307 $5485"	"50"	"3600"	"NORMAL"
"60"	"0"	"Spirit"	"스피리드"	"45795"	"M,T,W,H,F,A,S"	"3H 0M
11H 0M
19H 0M"	"32702"	"32315"	"4"	"1"	"30"	"0"	"0"	"0"	"false"	"NONE"	"$4148 $5485"	"50"	"3600"	"NORMAL"
"61"	"0"	"Orcus"	"오르쿠스"	"5044"	"M,T,W,H,F,A,S"	"2H 10M
6H 10M
10H 10M
14H 10M
18H 10M
0H 10M"	"32711"	"32234"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"NONE"	"$13731 $5485"	"50"	"3600"	"NORMAL"
"62"	"0"	"Necros"	"네크로스"	"5048"	"M,T,W,H,F,A,S"	"4H 0M
12H 0M
20H 0M"	"32683"	"32272"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"NONE"	"$13738 $5485"	"50"	"3600"	"NORMAL"
"63"	"0"	"Rekanto"	"리칸트"	"5134"	"M,T,W,H,F,A,S"	"4H 0M
12H 0M
20H 0M"	"33476"	"32482"	"4"	"1"	"15"	"0"	"0"	"0"	"false"	"NONE"	"$13725 $5485"	"50"	"3600"	"NORMAL"
"64"	"0"	"Keparle"	"케팔레"	"5046"	"M,T,W,H,F,A,S"	"4H 0M
12H 0M
20H 0M"	"33878"	"32270"	"4"	"1"	"15"	"0"	"0"	"0"	"false"	"NONE"	"$13724 $5485"	"50"	"3600"	"NORMAL"
"65"	"0"	"Arpier"	"아르피어"	"5047"	"M,T,W,H,F,A,S"	"4H 0M
12H 0M
20H 0M"	"32505"	"33060"	"9"	"1"	"10"	"0"	"0"	"0"	"false"	"NONE"	"$13747 $5485"	"50"	"3600"	"NORMAL"
"66"	"0"	"Baphomet"	"바포메트"	"45573"	"M,T,W,H,F,A,S"	"4H 0M
12H 0M
20H 0M"	"32707"	"32846"	"2"	"1"	"0"	"0"	"0"	"0"	"false"	"MAP"	"$21979"	"50"	"3600"	"NORMAL"
"68"	"0"	"Dark Lord"	"어둠의 군주"	"203048"	"M,T,W,H,F,A,S"	"5H 0M
13H 0M
21H 0M"	"33338"	"33003"	"4"	"1"	"20"	"0"	"0"	"0"	"false"	"NONE"	"$3833 $5485"	"50"	"3600"	"NORMAL"
"69"	"0"	"Black Knight Captain"	"흑기사 대장"	"145600"	"M,T,W,H,F,A,S"	"6H 10M
12H 10M
18H 10M
0H 10M"	"32857"	"32901"	"4"	"1"	"30"	"0"	"61"	"0"	"false"	"NONE"	"$18977"	"30"	"3600"	"NORMAL"
"71"	"1"	"Earth Dragon Guardian"	"지룡의 수호자"	"7128"	"M,T,W,H,F,A,S"	"3H 05M
6H 05M
9H 05M
12H 05M
15H 05M
18H 05M
21H 05M
0H 05M"	"32714"	"32834"	"32"	"1"	"30"	"0"	"0"	"0"	"false"	"NONE"	"$22348 $5485"	"50"	"3600"	"NORMAL"
"72"	"1"	"Earth Dragon Guardian"	"지룡의 수호자"	"7128"	"M,T,W,H,F,A,S"	"3H 05M
6H 05M
9H 05M
12H 05M
15H 05M
18H 05M
21H 05M
0H 05M"	"32714"	"32834"	"33"	"1"	"30"	"0"	"0"	"0"	"false"	"NONE"	"$22348 $5485"	"50"	"3600"	"NORMAL"
