"id"	"name"	"count"	"npc_templateid"	"locx"	"locy"	"randomx"	"randomy"	"heading"	"respawn_delay"	"mapid"	"movement_distance"
"2"	"Guardian Tower"	"1"	"91110"	"33168"	"32779"	"0"	"0"	"0"	"0"	"4"	"100"
"6"	"Paper Boy Test"	"1"	"100777"	"32759"	"32841"	"0"	"0"	"0"	"0"	"77"	"0"
"7"	"Paper Boy Test"	"1"	"900104"	"32759"	"32841"	"0"	"0"	"0"	"0"	"77"	"0"
"8"	"Battleship Manager^Wason"	"1"	"8514"	"32673"	"33250"	"0"	"0"	"6"	"0"	"9"	"0"
"9"	"Battleship Manager^Wason"	"1"	"8515"	"32788"	"32735"	"0"	"0"	"6"	"0"	"10"	"0"
"11"	"Teleporter^Lucas"	"1"	"50015"	"32583"	"32922"	"0"	"0"	"4"	"0"	"0"	"0"
"12"	"Teleporter^Stanley"	"1"	"50020"	"33050"	"32783"	"0"	"0"	"5"	"0"	"4"	"100"
"13"	"Teleporter^Riol"	"1"	"50066"	"33613"	"33257"	"0"	"0"	"6"	"0"	"4"	"0"
"14"	"Teleporter^Sirius"	"1"	"50044"	"33964"	"33252"	"0"	"0"	"4"	"0"	"4"	"100"
"15"	"Teleporter^Elleris"	"1"	"50046"	"33934"	"33351"	"0"	"0"	"6"	"0"	"4"	"100"
"17"	"Teleporter^Kirius"	"1"	"50051"	"34063"	"32278"	"0"	"0"	"5"	"0"	"4"	"100"
"18"	"Teleporter^Leslie"	"1"	"50039"	"33709"	"32499"	"0"	"0"	"6"	"0"	"4"	"100"
"19"	"Teleporter^Wilma"	"1"	"50036"	"33437"	"32795"	"0"	"0"	"4"	"0"	"4"	"100"
"20"	"Teleporter^Daniel"	"1"	"50079"	"32659"	"32524"	"0"	"0"	"6"	"0"	"4"	"100"
"21"	"Paul"	"1"	"50080"	"32657"	"32540"	"0"	"0"	"4"	"0"	"4"	"100"
"25"	"Market Teleporter^Mede"	"1"	"50027"	"32633"	"32795"	"0"	"0"	"6"	"0"	"4"	"100"
"26"	"Market Teleporter^Mede"	"1"	"50027"	"32629"	"32721"	"0"	"0"	"5"	"0"	"4"	"100"
"27"	"Market Teleporter^Angelina"	"1"	"50050"	"34061"	"32304"	"0"	"0"	"4"	"0"	"4"	"100"
"28"	"Market Teleporter^Angelina"	"1"	"50050"	"34063"	"32272"	"0"	"0"	"6"	"0"	"4"	"100"
"29"	"Market Teleporter^Alba"	"1"	"50034"	"33510"	"32766"	"0"	"0"	"4"	"0"	"4"	"100"
"35"	"Fire Field Teleporter^Hooper"	"1"	"50030"	"32631"	"32792"	"0"	"0"	"6"	"0"	"4"	"100"
"56"	"Teleporter^Castle Gatekeeper"	"1"	"50021"	"32734"	"32784"	"0"	"0"	"4"	"300"	"15"	"0"
"57"	"Teleporter^Castle Gatekeeper"	"1"	"50052"	"32733"	"32784"	"0"	"0"	"4"	"300"	"29"	"0"
"59"	"Teleporter^Castle Gatekeeper"	"1"	"50035"	"32733"	"32789"	"0"	"0"	"5"	"300"	"52"	"0"
"60"	"Teleporter^Castle Gatekeeper"	"1"	"50067"	"32579"	"32811"	"0"	"0"	"6"	"300"	"64"	"0"
"61"	"Teleporter^Castle Gatekeeper"	"1"	"50040"	"32865"	"32803"	"0"	"0"	"6"	"300"	"66"	"0"
"62"	"Teleporter^Castle Gatekeeper"	"1"	"50047"	"32891"	"32524"	"0"	"0"	"4"	"300"	"300"	"0"
"63"	"Fairy Princess"	"1"	"70853"	"32968"	"32443"	"0"	"0"	"5"	"0"	"4"	"100"
"65"	"Kent Relic Merchant^Niki"	"1"	"50118"	"32749"	"32795"	"0"	"0"	"4"	"0"	"15"	"0"
"80"	"Housekeeper^Gleda"	"1"	"50501"	"33352"	"32776"	"0"	"0"	"6"	"0"	"4"	"100"
"81"	"Housekeeper^Ginevra"	"1"	"50502"	"33400"	"32861"	"0"	"0"	"6"	"0"	"4"	"100"
"82"	"Housekeeper^Noela"	"1"	"50503"	"33359"	"32790"	"0"	"0"	"6"	"0"	"4"	"100"
"83"	"Housekeeper^Nicoline"	"1"	"50504"	"33345"	"32674"	"0"	"0"	"6"	"0"	"4"	"100"
"84"	"Housekeeper^Diane"	"1"	"50505"	"33385"	"32656"	"0"	"0"	"6"	"0"	"4"	"100"
"85"	"Housekeeper^Duana"	"1"	"50506"	"33414"	"32852"	"0"	"0"	"6"	"0"	"4"	"100"
